LandisData	Species		

					

>>				Sexual	   Shade	Fire	#Seed Disp Dist			#Veg	Sprout	Age	Post-Fire
>>	Name	Long	Maturit	Tol.	#Tol.	Effecti	Maximum	Rep P	Min	Max	Regen
>>	----		-------	-----	-----	----	------  -------	-----	----	-----	--------
	FrasFirr	400	20	5	1	50	400	0	0	0	none
	PiceRube	400	35	5	2	30	400	0	0	0	none
	PinuEnch	400	20	2	5	30	2000	0	0	0	none
	PinuPung	400	20	3	5	30	500	0	0	0	serotiny
	PinuTaed	400	20	3	5	30	500	0	0	0	serotiny
	PinuRigi	400	10	3	5	30	500	0	0	0	resprout
	PinuStro	400	20	4	5	30	400	0	0	0	resprout
	PinuVirg	400	20	2	4	30	800	0.0005	100	400	none
	TsugCana	400	20	2	4	30	800	0.0005	100	400	none
	AcerPens	400	20	2	4	30	800	0.0005	100	400	none	
	AcerRubr	400	20	2	4	30	800	0.0005	100	400	none
	AcerSacc	400	20	2	4	30	800	0.0005	100	400	none
	AescBuck	400	20	2	4	30	800	0.0005	100	400	none
	AmelArbo	400	20	2	4	30	800	0.0005	100	400	none
	BetuAlle 	400	20	2	4	30	800	0.0005	100	400	none
	BetuLent	400	20	2	4	30	800	0.0005	100	400	none
	BetuNigr	400	20	2	4	30	800	0.0005	100	400	none
	CaryCodi	400	20	2	4	30	800	0.0005	100	400	none
	CaryGlab	400	20	2	4	30	800	0.0005	100	400	none
	CaryOvat	400	20	4	5	30	400	0	0	0	resprout
	CaryAlba	400	20	4	5	30	400	0	0	0	resprout
	CornFlor	400	20	4	5	30	400	0	0	0	resprout
	FaguGran	400	20	4	5	30	400	0	0	0	resprout
	FraxAmer	400	20	4	5	30	400	0	0	0	resprout
	FraxPenn	400	20	4	5	30	400	0	0	0	resprout
	HaleDipt	400	20	2	4	30	800	0.0005	100	400	none
	IlexOpac	400	20	2	4	30	800	0.0005	100	400	none
	JuglNigr	400	20	2	4	30	800	0.0005	100	400	none
	LiquStyr	400	20	2	4	30	800	0.0005	100	400	none
	LiriTuli	400	20	2	4	30	800	0.0005	100	400	none
	MagnAcum	400	20	2	4	30	800	0.0005	100	400	none
	MagnMacr	400	20	2	4	30	800	0.0005	100	400	none
	NyssSylv	400	20	2	4	30	800	0.0005	100	400	none
	OxydArbo	400	20	2	4	30	800	0.0005	100	400	none
	PlanOcid	400	20	2	4	30	800	0.0005	100	400	none
	PrunPenn	400	20	2	4	30	800	0.0005	100	400	none
	PrunSero	400	20	2	4	30	800	0.0005	100	400	none
	QuerAlba	400	20	2	4	30	800	0.0005	100	400	none
	QuerCocc	400	20	2	4	30	800	0.0005	100	400	none
	QuerFalc	400	20	2	4	30	800	0.0005	100	400	none
	QuerPrin	400	20	2	4	30	800	0.0005	100	400	none
	QuerRubr	400	20	2	4	30	800	0.0005	100	400	none
	QuerStel	400	20	2	4	30	800	0.0005	100	400	none
	QuerVelu	400	20	2	4	30	800	0.0005	100	400	none
	RobiPseu	400	20	2	4	30	800	0.0005	100	400	none
	SassAlid	400	20	2	4	30	800	0.0005	100	400	none
	TiliAmer	400	20	2	4	30	800	0.0005	100	400	none
	TiliAmhe	400	20	2	4	30	800	0.0005	100	400	none











